Nameserver,Provider,Solution
.myspctech.com.,Convergint Technologies,Security Products Company Managed DNS
.name-services.com.,ENOM,Registrar-provided DNS
.name.com.,Name.com,Registrar-provided DNS
.namebrightdns.com.,NameBright,Registrar-provided DNS
.ncrsaasdns.com.,NCR,NCR Managed DNS
.netriplex.com.,Netriplex,Netriplex Managed DNS
.networktechnologysolutions.com.,NTS,NTS Managed DNS
.no-ip.com.,No-IP,No-IP Managed DNS
.nsone.net.,NS1,NS1 Managed DNS
.nsroot1.com.,Verisign,Managed DNS
.nsroot2.com.,Verisign,Managed DNS
.onefiserv.com.,Fiserv,Fiserv
.open-techs.com.,Open Technology Solutions,Open Technology Solutions
.opensolutionsasp.com.,Fiserv,Open Solutions DNA
.orderbox-dns.com.,Reseller Club,Registrar-provided DNS
.oxfordnetworks.net.,FirstLight,ISP-provided DNS
.parkingcrew.net.,Parking Crew,Registrar-provided DNS (PROBABLY PARKED/INVALID)
.parklogic.com.,ParkLogic,Registrar-provided DNS (PROBABLY PARKED/INVALID)
.parsecdata.com.,Parsec Data Management,Managed DNS
.peak10.com.,Flexential,Peak10 Datacenter-provided DNS
.perimeterusa.com.,BAE Systems,Perimeter E-Security
.privatedns.com.,MelbourneIT.com.au,Managed DNS
.profitstars.bank.,Jack Henry ProfitStars,Jack Henry Managed DNS
.qwest.net.,CenturyLink,Qwest Managed DNS
.rackspace.com.,Rackspace,Rackspace Managed DNS
.register.com.,Register.com,Registrar-provided DNS
.registrar-servers.com.,Namecheap,Registrar-provided DNS
.richweb.com.,Richweb,Managed DNS
.rmmcloud.net.,RMM Solutions,Managed DNS
.rr.com.,Charter Communications,Spectrum Internet
.ruraltel.net.,Nex-Tech,ISP-provided DNS
.rzone.de.,Strato.de,Registrar-provided DNS
.secureserver.net.,GoDaddy (secureserver.net),GoDaddy Web Hosting
.sedoparking.com.,Sedo,Registrar-provided DNS (PROBABLY PARKED/INVALID)
.softlayer.com.,IBM,SoftLayer Technologies Datacenter-provided DNS
.spinutech.com.,Spinutech,Web Host-provided DNS
.sprintlink.net.,Sprint,ISP-provided DNS
.squarespacedns.com.,Squarespace,Web Host-provided DNS
.stabletransit.com.,Rackspace,Rackspace Managed DNS
.sungardns.com.,Sungard Availability Services,Datacenter-provided DNS
.supranet.net.,Supranet,Supranet Managed DNS
.swbell.net.,AT&T,ISP-provided DNS
.swcorp.org.,Catalyst Corporate Federal Credit Union (CU and CUSO),CUSO Managed DNS
.systemdns.com.,OpenSRS,OpenSRS
.tech-ii.com.,Tech-II (Albany MSP),Managed DNS
.thewebhostserver.com.,EZPZhosting.com,Web Host-provided DNS
.tiaa-cref.org.,TIAA,Self-Hosted Unknown
.uberns.com.,Total Uptime,Cloud DNS
.uberns.net.,Total Uptime,Cloud DNS
.uberns.org.,Total Uptime,Cloud DNS
.ultradns.biz.,Neustar,UltraDNS
